cases,Pressure
1,5000000
2,5020000
3,5040000
4,5060000
5,5080000
6,5100000
7,5120000
8,5140000
9,5160000
10,5180000
11,5200000
12,5220000
13,5240000
14,5260000
15,5280000
16,5300000
17,5320000
18,5340000
19,5360000
20,5380000
21,5400000
22,5420000
23,5440000
24,5460000
25,5480000
26,5500000
27,5520000
28,5540000
29,5560000
30,5580000
31,5600000
32,5620000
33,5640000
34,5660000
35,5680000
36,5700000
37,5720000
38,5740000
39,5760000
40,5780000
41,5800000
42,5820000
43,5840000
44,5860000
45,5880000
46,5900000
47,5920000
48,5940000
49,5960000
50,5980000
51,6000000
52,6020000
53,6040000
54,6060000
55,6080000
56,6100000
57,6120000
58,6140000
59,6160000
60,6180000
61,6200000
62,6220000
63,6240000
64,6260000
65,6280000
66,6300000
67,6320000
68,6340000
69,6360000
70,6380000
71,6400000
72,6420000
73,6440000
74,6460000
75,6480000
76,6500000
77,6520000
78,6540000
79,6560000
80,6580000
81,6600000
82,6620000
83,6640000
84,6660000
85,6680000
86,6700000
87,6720000
88,6740000
89,6760000
90,6780000
91,6800000
92,6820000
93,6840000
94,6860000
95,6880000
96,6900000
97,6920000
98,6940000
99,6960000
100,6980000
101,7000000
102,7020000
103,7040000
104,7060000
105,7080000
106,7100000
107,7120000
108,7140000
109,7160000
110,7180000
111,7200000
112,7220000
113,7240000
114,7260000
115,7280000
116,7300000
117,7320000
118,7340000
119,7360000
120,7380000
121,7400000
122,7420000
123,7440000
124,7460000
125,7480000
126,7500000
127,7520000
128,7540000
129,7560000
130,7580000
131,7600000
132,7620000
133,7640000
134,7660000
135,7680000
136,7700000
137,7720000
138,7740000
139,7760000
140,7780000
141,7800000
142,7820000
143,7840000
144,7860000
145,7880000
146,7900000
147,7920000
148,7940000
149,7960000
150,7980000
151,8000000
152,8020000
153,8040000
154,8060000
155,8080000
156,8100000
157,8120000
158,8140000
159,8160000
160,8180000
161,8200000
162,8220000
163,8240000
164,8260000
165,8280000
166,8300000
167,8320000
168,8340000
169,8360000
170,8380000
171,8400000
172,8420000
173,8440000
174,8460000
175,8480000
176,8500000
177,8520000
178,8540000
179,8560000
180,8580000
181,8600000
182,8620000
183,8640000
184,8660000
185,8680000
186,8700000
187,8720000
188,8740000
189,8760000
190,8780000
191,8800000
192,8820000
193,8840000
194,8860000
195,8880000
196,8900000
197,8920000
198,8940000
199,8960000
200,8980000
201,9000000
202,9020000
203,9040000
204,9060000
205,9080000
206,9100000
207,9120000
208,9140000
209,9160000
210,9180000
211,9200000
212,9220000
213,9240000
214,9260000
215,9280000
216,9300000
217,9320000
218,9340000
219,9360000
220,9380000
221,9400000
222,9420000
223,9440000
224,9460000
225,9480000
226,9500000
227,9520000
228,9540000
229,9560000
230,9580000
231,9600000
232,9620000
233,9640000
234,9660000
235,9680000
236,9700000
237,9720000
238,9740000
239,9760000
240,9780000
241,9800000
242,9820000
243,9840000
244,9860000
245,9880000
246,9900000
247,9920000
248,9940000
249,9960000
250,9980000
251,10000000
252,10020000
253,10040000
254,10060000
255,10080000
256,10100000
257,10120000
258,10140000
259,10160000
260,10180000
261,10200000
262,10220000
263,10240000
264,10260000
265,10280000
266,10300000
267,10320000
268,10340000
269,10360000
270,10380000
271,10400000
272,10420000
273,10440000
274,10460000
275,10480000
276,10500000
277,10520000
278,10540000
279,10560000
280,10580000
281,10600000
282,10620000
283,10640000
284,10660000
285,10680000
286,10700000
287,10720000
288,10740000
289,10760000
290,10780000
291,10800000
292,10820000
293,10840000
294,10860000
295,10880000
296,10900000
297,10920000
298,10940000
299,10960000
300,10980000
301,11000000
302,11020000
303,11040000
304,11060000
305,11080000
306,11100000
307,11120000
308,11140000
309,11160000
310,11180000
311,11200000
312,11220000
313,11240000
314,11260000
315,11280000
316,11300000
317,11320000
318,11340000
319,11360000
320,11380000
321,11400000
322,11420000
323,11440000
324,11460000
325,11480000
326,11500000
327,11520000
328,11540000
329,11560000
330,11580000
331,11600000
332,11620000
333,11640000
334,11660000
335,11680000
336,11700000
337,11720000
338,11740000
339,11760000
340,11780000
341,11800000
342,11820000
343,11840000
344,11860000
345,11880000
346,11900000
347,11920000
348,11940000
349,11960000
350,11980000
351,12000000
352,12020000
353,12040000
354,12060000
355,12080000
356,12100000
357,12120000
358,12140000
359,12160000
360,12180000
361,12200000
362,12220000
363,12240000
364,12260000
365,12280000
366,12300000
367,12320000
368,12340000
369,12360000
370,12380000
371,12400000
372,12420000
373,12440000
374,12460000
375,12480000
376,12500000
377,12520000
378,12540000
379,12560000
380,12580000
381,12600000
382,12620000
383,12640000
384,12660000
385,12680000
386,12700000
387,12720000
388,12740000
389,12760000
390,12780000
391,12800000
392,12820000
393,12840000
394,12860000
395,12880000
396,12900000
397,12920000
398,12940000
399,12960000
400,12980000
401,13000000
402,13020000
403,13040000
404,13060000
405,13080000
406,13100000
407,13120000
408,13140000
409,13160000
410,13180000
411,13200000
412,13220000
413,13240000
414,13260000
415,13280000
416,13300000
417,13320000
418,13340000
419,13360000
420,13380000
421,13400000
422,13420000
423,13440000
424,13460000
425,13480000
426,13500000
427,13520000
428,13540000
429,13560000
430,13580000
431,13600000
432,13620000
433,13640000
434,13660000
435,13680000
436,13700000
437,13720000
438,13740000
439,13760000
440,13780000
441,13800000
442,13820000
443,13840000
444,13860000
445,13880000
446,13900000
447,13920000
448,13940000
449,13960000
450,13980000
451,14000000
452,14020000
453,14040000
454,14060000
455,14080000
456,14100000
457,14120000
458,14140000
459,14160000
460,14180000
461,14200000
462,14220000
463,14240000
464,14260000
465,14280000
466,14300000
467,14320000
468,14340000
469,14360000
470,14380000
471,14400000
472,14420000
473,14440000
474,14460000
475,14480000
476,14500000
477,14520000
478,14540000
479,14560000
480,14580000
481,14600000
482,14620000
483,14640000
484,14660000
485,14680000
486,14700000
487,14720000
488,14740000
489,14760000
490,14780000
491,14800000
492,14820000
493,14840000
494,14860000
495,14880000
496,14900000
497,14920000
498,14940000
499,14960000
500,14980000
501,15000000
