nodenumber     x-coordinate     y-coordinate      temperature      mach-number         pressure 
         1  0.000000000E+00  0.000000000E+00  1.999850659E+03  2.995296334E-02  2.998430930E+06 
         2  5.454545211E-03  0.000000000E+00  1.999850039E+03  3.001987378E-02  2.998422804E+06 
         3  1.090909042E-02  0.000000000E+00  1.999848361E+03  3.019494300E-02  2.998401773E+06 
         4  1.636363563E-02  0.000000000E+00  1.999845683E+03  3.046589874E-02  2.998371391E+06 
         5  2.181818084E-02  0.000000000E+00  1.999841762E+03  3.085391303E-02  2.998328581E+06 
         6  2.727272605E-02  0.000000000E+00  1.999836469E+03  3.136763350E-02  2.998271612E+06 
         7  3.272727126E-02  0.000000000E+00  1.999829722E+03  3.200873395E-02  2.998199512E+06 
         8  3.818181647E-02  0.000000000E+00  1.999821342E+03  3.278701788E-02  2.998110726E+06 
         9  4.363636169E-02  0.000000000E+00  1.999811200E+03  3.370350876E-02  2.998002775E+06 
        10  4.909090690E-02  0.000000000E+00  1.999798832E+03  3.478814024E-02  2.997874229E+06 
        11  5.454545211E-02  0.000000000E+00  1.999784593E+03  3.599718174E-02  2.997721763E+06 
        12  5.999999732E-02  0.000000000E+00  1.999767320E+03  3.741078361E-02  2.997539863E+06 
        13  6.353845892E-02  0.000000000E+00  1.999754334E+03  3.844201330E-02  2.997404954E+06 
        14  6.707692052E-02  0.000000000E+00  1.999740333E+03  3.952019581E-02  2.997256361E+06 
        15  7.061538212E-02  0.000000000E+00  1.999724427E+03  4.071049530E-02  2.997089168E+06 
        16  7.415384372E-02  0.000000000E+00  1.999706544E+03  4.200872717E-02  2.996900623E+06 
        17  7.769230532E-02  0.000000000E+00  1.999686670E+03  4.340586849E-02  2.996691509E+06 
        18  8.123076693E-02  0.000000000E+00  1.999664495E+03  4.491335747E-02  2.996458467E+06 
        19  8.476922853E-02  0.000000000E+00  1.999639679E+03  4.654234197E-02  2.996197677E+06 
        20  8.830769013E-02  0.000000000E+00  1.999611897E+03  4.830088058E-02  2.995905755E+06 
        21  9.184615173E-02  0.000000000E+00  1.999580754E+03  5.019879646E-02  2.995578644E+06 
        22  9.538461333E-02  0.000000000E+00  1.999545784E+03  5.224778975E-02  2.995211423E+06 
        23  9.892307493E-02  0.000000000E+00  1.999506445E+03  5.446060312E-02  2.994798419E+06 
        24  1.024615365E-01  0.000000000E+00  1.999462110E+03  5.685132591E-02  2.994333047E+06 
        25  1.059999981E-01  0.000000000E+00  1.999412040E+03  5.943577200E-02  2.993807580E+06 
        26  1.095384597E-01  0.000000000E+00  1.999355369E+03  6.223164250E-02  2.993212939E+06 
        27  1.130769213E-01  0.000000000E+00  1.999291076E+03  6.525873895E-02  2.992538443E+06 
        28  1.166153829E-01  0.000000000E+00  1.999217956E+03  6.853925733E-02  2.991771484E+06 
        29  1.201538445E-01  0.000000000E+00  1.999134582E+03  7.209810825E-02  2.990897142E+06 
        30  1.236923061E-01  0.000000000E+00  1.999039259E+03  7.596326938E-02  2.989897704E+06 
        31  1.272307677E-01  0.000000000E+00  1.998929966E+03  8.016618514E-02  2.988752095E+06 
        32  1.307692293E-01  0.000000000E+00  1.998804292E+03  8.474221377E-02  2.987435170E+06 
        33  1.343076909E-01  0.000000000E+00  1.998659347E+03  8.973112117E-02  2.985916857E+06 
        34  1.378461525E-01  0.000000000E+00  1.998491664E+03  9.517761857E-02  2.984161113E+06 
        35  1.413846141E-01  0.000000000E+00  1.998297073E+03  1.011319444E-01  2.982124658E+06 
        36  1.449230757E-01  0.000000000E+00  1.998070549E+03  1.076504694E-01  2.979755445E+06 
        37  1.484615374E-01  0.000000000E+00  1.997806026E+03  1.147963443E-01  2.976990821E+06 
        38  1.519999990E-01  0.000000000E+00  1.997496182E+03  1.226400446E-01  2.973755341E+06 
        39  1.555384606E-01  0.000000000E+00  1.997132171E+03  1.312599757E-01  2.969958208E+06 
        40  1.590769222E-01  0.000000000E+00  1.996703328E+03  1.407426599E-01  2.965490227E+06 
        41  1.626153838E-01  0.000000000E+00  1.996196774E+03  1.511837272E-01  2.960220466E+06 
        42  1.661538454E-01  0.000000000E+00  1.995597087E+03  1.626863020E-01  2.953992144E+06 
        43  1.696923070E-01  0.000000000E+00  1.994885605E+03  1.753649120E-01  2.946619241E+06 
        44  1.732307686E-01  0.000000000E+00  1.994040563E+03  1.893341706E-01  2.937880154E+06 
        45  1.767692302E-01  0.000000000E+00  1.993034788E+03  2.047347146E-01  2.927518861E+06 
        46  1.803076918E-01  0.000000000E+00  1.991839935E+03  2.216640309E-01  2.915225799E+06 
        47  1.838461534E-01  0.000000000E+00  1.990412429E+03  2.403497636E-01  2.900675520E+06 
        48  1.873846150E-01  0.000000000E+00  1.988729260E+03  2.607117125E-01  2.883418186E+06 
        49  1.909230766E-01  0.000000000E+00  1.986686333E+03  2.834723456E-01  2.863238519E+06 
        50  1.944615382E-01  0.000000000E+00  1.984396420E+03  3.071338338E-01  2.839636838E+06 
        51  1.979999998E-01  0.000000000E+00  1.981536369E+03  3.343966929E-01  2.811467556E+06 
        52  1.996470586E-01  0.000000000E+00  1.980028028E+03  3.480416299E-01  2.796851550E+06 
        53  2.012941173E-01  0.000000000E+00  1.978528245E+03  3.610065531E-01  2.781719795E+06 
        54  2.029411761E-01  0.000000000E+00  1.976843130E+03  3.750576434E-01  2.765214033E+06 
        55  2.045882349E-01  0.000000000E+00  1.974983619E+03  3.900108429E-01  2.746957016E+06 
        56  2.062352937E-01  0.000000000E+00  1.973001506E+03  4.053735821E-01  2.727653448E+06 
        57  2.078823525E-01  0.000000000E+00  1.970884758E+03  4.211920297E-01  2.707228555E+06 
        58  2.095294113E-01  0.000000000E+00  1.968610194E+03  4.375886987E-01  2.685422669E+06 
        59  2.111764700E-01  0.000000000E+00  1.966170432E+03  4.545597301E-01  2.662187314E+06 
        60  2.128235288E-01  0.000000000E+00  1.963561113E+03  4.720799108E-01  2.637530121E+06 
        61  2.144705876E-01  0.000000000E+00  1.960774070E+03  4.901510274E-01  2.611414265E+06 
        62  2.161176464E-01  0.000000000E+00  1.957800150E+03  5.087803254E-01  2.583794627E+06 
        63  2.177647052E-01  0.000000000E+00  1.954632379E+03  5.279607815E-01  2.554646426E+06 
        64  2.194117640E-01  0.000000000E+00  1.951264090E+03  5.476837478E-01  2.523965686E+06 
        65  2.210588228E-01  0.000000000E+00  1.947686049E+03  5.679559321E-01  2.491727352E+06 
        66  2.227058815E-01  0.000000000E+00  1.943890410E+03  5.887760334E-01  2.457912340E+06 
        67  2.243529403E-01  0.000000000E+00  1.939871566E+03  6.101310008E-01  2.422539508E+06 
        68  2.259999991E-01  0.000000000E+00  1.935623894E+03  6.320096497E-01  2.385628803E+06 
        69  2.276470579E-01  0.000000000E+00  1.931141838E+03  6.544021401E-01  2.347208365E+06 
        70  2.292941167E-01  0.000000000E+00  1.926421347E+03  6.772931093E-01  2.307316133E+06 
        71  2.309411755E-01  0.000000000E+00  1.921458417E+03  7.006691250E-01  2.266010291E+06 
        72  2.325882342E-01  0.000000000E+00  1.916250900E+03  7.245108434E-01  2.223346516E+06 
        73  2.342352930E-01  0.000000000E+00  1.910798216E+03  7.487945444E-01  2.179420292E+06 
        74  2.358823518E-01  0.000000000E+00  1.905100170E+03  7.734984777E-01  2.134313709E+06 
        75  2.375294106E-01  0.000000000E+00  1.899160232E+03  7.985886679E-01  2.088145292E+06 
        76  2.391764694E-01  0.000000000E+00  1.892981665E+03  8.240362330E-01  2.041040464E+06 
        77  2.408235282E-01  0.000000000E+00  1.886573896E+03  8.497918153E-01  1.993129847E+06 
        78  2.424705870E-01  0.000000000E+00  1.879938896E+03  8.758395199E-01  1.944562103E+06 
        79  2.441176457E-01  0.000000000E+00  1.873078408E+03  9.021678709E-01  1.895345714E+06 
        80  2.457647045E-01  0.000000000E+00  1.865947215E+03  9.289388615E-01  1.845429214E+06 
        81  2.474117633E-01  0.000000000E+00  1.858519096E+03  9.562379004E-01  1.794297524E+06 
        82  2.490588221E-01  0.000000000E+00  1.850482782E+03  9.851450184E-01  1.741226238E+06 
        83  2.507058809E-01  0.000000000E+00  1.841918662E+03  1.015325684E+00  1.683923954E+06 
        84  2.523529397E-01  0.000000000E+00  1.831508220E+03  1.051143714E+00  1.621623690E+06 
        85  2.539999985E-01  0.000000000E+00  1.821816420E+03  1.083843961E+00  1.566342260E+06 
        86  2.588599985E-01  0.000000000E+00  1.798976768E+03  1.158230448E+00  1.430372486E+06 
        87  2.637199985E-01  0.000000000E+00  1.772867151E+03  1.240208391E+00  1.292133843E+06 
        88  2.685799985E-01  0.000000000E+00  1.744105962E+03  1.327268965E+00  1.152557137E+06 
        89  2.734399985E-01  0.000000000E+00  1.713577187E+03  1.416744176E+00  1.018804307E+06 
        90  2.782999985E-01  0.000000000E+00  1.681785180E+03  1.507428343E+00  8.939213330E+05 
        91  2.831599985E-01  0.000000000E+00  1.649148718E+03  1.598501242E+00  7.795600268E+05 
        92  2.880199986E-01  0.000000000E+00  1.616084834E+03  1.689209766E+00  6.766646639E+05 
        93  2.928799986E-01  0.000000000E+00  1.582995728E+03  1.778861317E+00  5.855148151E+05 
        94  2.977399986E-01  0.000000000E+00  1.550250968E+03  1.866838190E+00  5.058347677E+05 
        95  3.025999986E-01  0.000000000E+00  1.518172217E+03  1.952613430E+00  4.369374820E+05 
        96  3.074599986E-01  0.000000000E+00  1.487025079E+03  2.035756923E+00  3.778726255E+05 
        97  3.123199986E-01  0.000000000E+00  1.457023379E+03  2.115916996E+00  3.275677073E+05 
        98  3.171799987E-01  0.000000000E+00  1.428342833E+03  2.192783713E+00  2.849432506E+05 
        99  3.220399987E-01  0.000000000E+00  1.401144623E+03  2.266028529E+00  2.489916206E+05 
       100  3.268999987E-01  0.000000000E+00  1.375595063E+03  2.335256259E+00  2.188270712E+05 
       101  3.317599987E-01  0.000000000E+00  1.351942774E+03  2.399795399E+00  1.937131718E+05 
       102  3.366199987E-01  0.000000000E+00  1.330397617E+03  2.459032151E+00  1.730681244E+05 
       103  3.414799987E-01  0.000000000E+00  1.311427917E+03  2.511585230E+00  1.563928777E+05 
       104  3.463399987E-01  0.000000000E+00  1.294791016E+03  2.558032846E+00  1.435300361E+05 
       105  3.511999988E-01  0.000000000E+00  1.283857837E+03  2.588737179E+00  1.351067221E+05 
       106  3.560599988E-01  0.000000000E+00  1.281423086E+03  2.595627085E+00  1.324736605E+05 
       107  3.609199988E-01  0.000000000E+00  1.285906654E+03  2.583047276E+00  1.354550619E+05 
       108  3.657799988E-01  0.000000000E+00  1.297722290E+03  2.549957132E+00  1.441805342E+05 
       109  3.706399988E-01  0.000000000E+00  1.315044492E+03  2.501685419E+00  1.576717499E+05 
       110  3.754999988E-01  0.000000000E+00  1.329894762E+03  2.460488940E+00  1.702448026E+05 
       111  3.803599989E-01  0.000000000E+00  1.335205517E+03  2.445772504E+00  1.758975897E+05 
       112  3.852199989E-01  0.000000000E+00  1.333083411E+03  2.451591442E+00  1.746418212E+05 
       113  3.900799989E-01  0.000000000E+00  1.326995430E+03  2.468381007E+00  1.691978116E+05 
       114  3.949399989E-01  0.000000000E+00  1.317538992E+03  2.494557918E+00  1.608988476E+05 
       115  3.997999989E-01  0.000000000E+00  1.306454369E+03  2.525377931E+00  1.515983087E+05 
       116  4.046599989E-01  0.000000000E+00  1.295142967E+03  2.556981913E+00  1.425757578E+05 
       117  4.095199989E-01  0.000000000E+00  1.284447846E+03  2.587011656E+00  1.344716969E+05 
       118  4.143799990E-01  0.000000000E+00  1.274673374E+03  2.614588029E+00  1.274277005E+05 
       119  4.192399990E-01  0.000000000E+00  1.265742554E+03  2.639898961E+00  1.212879600E+05 
       120  4.240999990E-01  0.000000000E+00  1.257423135E+03  2.663579492E+00  1.158100541E+05 
       121  4.289599990E-01  0.000000000E+00  1.249487761E+03  2.686262233E+00  1.107889015E+05 
       122  4.338199990E-01  0.000000000E+00  1.241773711E+03  2.708404596E+00  1.060889440E+05 
       123  4.386799990E-01  0.000000000E+00  1.234184149E+03  2.730281226E+00  1.016323631E+05 
       124  4.435399991E-01  0.000000000E+00  1.226672329E+03  2.752025937E+00  9.737964954E+04 
       125  4.483999991E-01  0.000000000E+00  1.219225535E+03  2.773675571E+00  9.331432315E+04 
       126  4.532599991E-01  0.000000000E+00  1.211851295E+03  2.795208244E+00  8.943200294E+04 
       127  4.581199991E-01  0.000000000E+00  1.204565987E+03  2.816575567E+00  8.573267141E+04 
       128  4.629799991E-01  0.000000000E+00  1.197386571E+03  2.837726473E+00  8.221584813E+04 
       129  4.678399991E-01  0.000000000E+00  1.190325923E+03  2.858620976E+00  7.887839526E+04 
       130  4.726999991E-01  0.000000000E+00  1.183391335E+03  2.879234924E+00  7.571424067E+04 
       131  4.775599992E-01  0.000000000E+00  1.176585081E+03  2.899558670E+00  7.271512796E+04 
       132  4.824199992E-01  0.000000000E+00  1.169905896E+03  2.919592968E+00  6.987165334E+04 
       133  4.872799992E-01  0.000000000E+00  1.163350468E+03  2.939344702E+00  6.717413709E+04 
       134  4.921399992E-01  0.000000000E+00  1.156914508E+03  2.958823801E+00  6.461316385E+04 
       135  4.969999992E-01  0.000000000E+00  1.150593358E+03  2.978041454E+00  6.217983665E+04 
       136  5.018599992E-01  0.000000000E+00  1.144382351E+03  2.997009035E+00  5.986587914E+04 
       137  5.067199993E-01  0.000000000E+00  1.138277128E+03  3.015737149E+00  5.766369351E+04 
       138  5.115799993E-01  0.000000000E+00  1.132273939E+03  3.034234682E+00  5.556640286E+04 
       139  5.164399993E-01  0.000000000E+00  1.126369847E+03  3.052508129E+00  5.356785323E+04 
       140  5.212999993E-01  0.000000000E+00  1.120562751E+03  3.070561473E+00  5.166255248E+04 
       141  5.261599993E-01  0.000000000E+00  1.114851219E+03  3.088396650E+00  4.984555410E+04 
       142  5.310199993E-01  0.000000000E+00  1.109234231E+03  3.106014332E+00  4.811232354E+04 
       143  5.358799993E-01  0.000000000E+00  1.103710934E+03  3.123414652E+00  4.645862877E+04 
       144  5.407399994E-01  0.000000000E+00  1.098280503E+03  3.140597652E+00  4.488047420E+04 
       145  5.455999994E-01  0.000000000E+00  1.092942080E+03  3.157563473E+00  4.337406921E+04 
       146  5.504599994E-01  0.000000000E+00  1.087694745E+03  3.174312462E+00  4.193580998E+04 
       147  5.553199994E-01  0.000000000E+00  1.082537461E+03  3.190845339E+00  4.056225852E+04 
       148  5.601799994E-01  0.000000000E+00  1.077468997E+03  3.207163472E+00  3.925011634E+04 
       149  5.650399994E-01  0.000000000E+00  1.072487851E+03  3.223269136E+00  3.799620044E+04 
       150  5.698999995E-01  0.000000000E+00  1.067592211E+03  3.239165669E+00  3.679743091E+04 
       151  5.747599995E-01  0.000000000E+00  1.062779971E+03  3.254857429E+00  3.565083344E+04 
       152  5.796199995E-01  0.000000000E+00  1.058048797E+03  3.270349611E+00  3.455355255E+04 
       153  5.844799995E-01  0.000000000E+00  1.053396215E+03  3.285647967E+00  3.350286869E+04 
       154  5.893399995E-01  0.000000000E+00  1.048819717E+03  3.300758474E+00  3.249621347E+04 
       155  5.941999995E-01  0.000000000E+00  1.044316844E+03  3.315687058E+00  3.153117789E+04 
       156  5.990599996E-01  0.000000000E+00  1.039885227E+03  3.330439463E+00  3.060551018E+04 
       157  6.039199996E-01  0.000000000E+00  1.035522587E+03  3.345021228E+00  2.971710695E+04 
       158  6.087799996E-01  0.000000000E+00  1.031226747E+03  3.359437649E+00  2.886400514E+04 
       159  6.136399996E-01  0.000000000E+00  1.026995680E+03  3.373693622E+00  2.804437947E+04 
