nodenumber,    x-coordinate,    y-coordinate
         1, 2.452192717E-01, 3.438627695E-02
         2, 2.434579708E-01, 3.439567042E-02
         3, 2.469800645E-01, 3.442960893E-02
         4, 2.416973179E-01, 3.444435619E-02
         5, 2.487394160E-01, 3.451298427E-02
         6, 2.399381807E-01, 3.453213569E-02
         7, 2.504964588E-01, 3.463574175E-02
         8, 2.381814160E-01, 3.465881037E-02
         9, 2.522502919E-01, 3.479803301E-02
        10, 2.364284924E-01, 3.483064761E-02
        11, 2.540000000E-01, 3.500000000E-02
        12, 2.346800050E-01, 3.504292278E-02
        13, 2.329377773E-01, 3.530159524E-02
        14, 2.312021163E-01, 3.560117805E-02
        15, 2.294739860E-01, 3.594152324E-02
        16, 2.588600000E-01, 3.630000000E-02
        17, 2.277543467E-01, 3.632245558E-02
        18, 2.260441534E-01, 3.674377255E-02
        19, 2.243443556E-01, 3.720524472E-02
        20, 2.637200000E-01, 3.760000000E-02
        21, 2.226573345E-01, 3.771143512E-02
        22, 2.209827011E-01, 3.825721148E-02
        23, 2.193213826E-01, 3.884226707E-02
        24, 2.685800000E-01, 3.890000000E-02
        25, 2.176742972E-01, 3.946626919E-02
        26, 2.160423526E-01, 4.012885941E-02
        27, 2.734400000E-01, 4.020000000E-02
        28, 2.144264455E-01, 4.082965406E-02
        29, 2.783000000E-01, 4.150000000E-02
        30, 2.128297353E-01, 4.157314964E-02
        31, 2.112506221E-01, 4.235332295E-02
        32, 2.831600000E-01, 4.280000000E-02
        33, 2.096921068E-01, 4.317387110E-02
        34, 2.081521257E-01, 4.402869684E-02
        35, 2.880200000E-01, 4.410000000E-02
        36, 2.066315110E-01, 4.491751614E-02
        37, 2.928800000E-01, 4.540000000E-02
        38, 2.051311043E-01, 4.584003909E-02
        39, 2.977400000E-01, 4.670000000E-02
        40, 2.036589839E-01, 4.680706057E-02
        41, 2.022092422E-01, 4.780731965E-02
        42, 3.026000000E-01, 4.800000000E-02
        43, 2.007822664E-01, 4.883979674E-02
        44, 3.074600000E-01, 4.930000000E-02
        45, 1.993789016E-01, 4.990414449E-02
        46, 3.123200000E-01, 5.060000000E-02
        47, 1.980000000E-01, 5.100000000E-02
        48, 3.171800000E-01, 5.190000000E-02
        49, 3.220400000E-01, 5.320000000E-02
        50, 3.269000000E-01, 5.450000000E-02
        51, 1.944615384E-01, 5.456410260E-02
        52, 3.317600000E-01, 5.580000000E-02
        53, 3.366200000E-01, 5.710000000E-02
        54, 1.909230769E-01, 5.812820520E-02
        55, 3.414800000E-01, 5.840000000E-02
        56, 3.463400000E-01, 5.970000000E-02
        57, 3.512000000E-01, 6.100000000E-02
        58, 1.873846153E-01, 6.169230780E-02
        59, 3.560600000E-01, 6.230000000E-02
        60, 3.609200000E-01, 6.360000000E-02
        61, 3.657800000E-01, 6.490000000E-02
        62, 1.838461537E-01, 6.525641039E-02
        63, 3.706400000E-01, 6.620000000E-02
        64, 3.755000000E-01, 6.750000000E-02
        65, 3.803600000E-01, 6.880000000E-02
        66, 1.803076921E-01, 6.882051299E-02
        67, 3.852200000E-01, 7.010000000E-02
        68, 3.900800000E-01, 7.140000000E-02
        69, 1.767692306E-01, 7.238461559E-02
        70, 3.949400000E-01, 7.270000000E-02
        71, 3.998000000E-01, 7.400000000E-02
        72, 4.046600000E-01, 7.530000000E-02
        73, 1.732307690E-01, 7.594871819E-02
        74, 4.095200000E-01, 7.660000000E-02
        75, 4.143800000E-01, 7.790000000E-02
        76, 4.192400000E-01, 7.920000000E-02
        77, 1.696923074E-01, 7.951282079E-02
        78, 4.241000000E-01, 8.050000000E-02
        79, 4.289600000E-01, 8.180000000E-02
        80, 1.661538458E-01, 8.307692339E-02
        81, 4.338200000E-01, 8.310000000E-02
        82, 4.386800000E-01, 8.440000000E-02
        83, 4.435400000E-01, 8.570000000E-02
        84, 1.626153843E-01, 8.664102598E-02
        85, 4.484000000E-01, 8.700000000E-02
        86, 4.532600000E-01, 8.830000000E-02
        87, 4.581200000E-01, 8.960000000E-02
        88, 1.590769227E-01, 9.020512858E-02
        89, 4.629800000E-01, 9.090000000E-02
        90, 4.678400000E-01, 9.220000000E-02
        91, 4.727000000E-01, 9.350000000E-02
        92, 1.555384611E-01, 9.376923118E-02
        93, 4.775600000E-01, 9.480000000E-02
        94, 4.824200000E-01, 9.610000000E-02
        95, 1.519999996E-01, 9.733333378E-02
        96, 4.872800000E-01, 9.740000000E-02
        97, 4.921400000E-01, 9.870000000E-02
        98, 4.970000000E-01, 1.000000000E-01
        99, 1.484615380E-01, 1.008974364E-01
       100, 5.018600000E-01, 1.013000000E-01
       101, 5.067200000E-01, 1.026000000E-01
       102, 5.115800000E-01, 1.039000000E-01
       103, 1.449230764E-01, 1.044615390E-01
       104, 5.164400000E-01, 1.052000000E-01
       105, 5.213000000E-01, 1.065000000E-01
       106, 5.261600000E-01, 1.078000000E-01
       107, 1.413846148E-01, 1.080256416E-01
       108, 5.310200000E-01, 1.091000000E-01
       109, 5.358800000E-01, 1.104000000E-01
       110, 1.378461533E-01, 1.115897442E-01
       111, 5.407400000E-01, 1.117000000E-01
       112, 5.456000000E-01, 1.130000000E-01
       113, 5.504600000E-01, 1.143000000E-01
       114, 1.343076917E-01, 1.151538468E-01
       115, 5.553200000E-01, 1.156000000E-01
       116, 5.601800000E-01, 1.169000000E-01
       117, 5.650400000E-01, 1.182000000E-01
       118, 1.307692301E-01, 1.187179494E-01
       119, 5.699000000E-01, 1.195000000E-01
       120, 5.747600000E-01, 1.208000000E-01
       121, 5.796200000E-01, 1.221000000E-01
       122, 1.272307685E-01, 1.222820520E-01
       123, 5.844800000E-01, 1.234000000E-01
       124, 5.893400000E-01, 1.247000000E-01
       125, 1.236923070E-01, 1.258461546E-01
       126, 5.942000000E-01, 1.260000000E-01
       127, 5.990600000E-01, 1.273000000E-01
       128, 6.039200000E-01, 1.286000000E-01
       129, 1.201538454E-01, 1.294102572E-01
       130, 6.087800000E-01, 1.299000000E-01
       131, 6.136400000E-01, 1.312000000E-01
       132, 6.185000000E-01, 1.325000000E-01
       133, 1.166153838E-01, 1.329743598E-01
       134, 6.233600000E-01, 1.338000000E-01
       135, 6.282200000E-01, 1.351000000E-01
       136, 6.330800000E-01, 1.364000000E-01
       137, 1.130769223E-01, 1.365384624E-01
       138, 6.379400000E-01, 1.377000000E-01
       139, 6.428000000E-01, 1.390000000E-01
       140, 1.095384607E-01, 1.401025650E-01
       141, 6.476600000E-01, 1.403000000E-01
       142, 6.525200000E-01, 1.416000000E-01
       143, 6.573800000E-01, 1.429000000E-01
       144, 1.059999991E-01, 1.436666676E-01
       145, 6.622400000E-01, 1.442000000E-01
       146, 6.671000000E-01, 1.455000000E-01
       147, 6.719600000E-01, 1.468000000E-01
       148, 1.024615375E-01, 1.472307702E-01
       149, 6.768200000E-01, 1.481000000E-01
       150, 6.816800000E-01, 1.494000000E-01
       151, 6.865400000E-01, 1.507000000E-01
       152, 9.892307597E-02, 1.507948728E-01
       153, 6.914000000E-01, 1.520000000E-01
       154, 6.962600000E-01, 1.533000000E-01
       155, 9.538461439E-02, 1.543589754E-01
       156, 7.011200000E-01, 1.546000000E-01
       157, 7.059800000E-01, 1.559000000E-01
       158, 7.108400000E-01, 1.572000000E-01
       159, 9.184615282E-02, 1.579230780E-01
       160, 7.157000000E-01, 1.585000000E-01
       161, 7.205600000E-01, 1.598000000E-01
       162, 7.254200000E-01, 1.611000000E-01
       163, 8.830769125E-02, 1.614871806E-01
       164, 7.302800000E-01, 1.624000000E-01
       165, 7.351400000E-01, 1.637000000E-01
       166, 7.400000000E-01, 1.650000000E-01
       167, 8.476922968E-02, 1.650512832E-01
